"u","v","lw","Direct"
1,20,1,"true"
1,30,1,"true"
2,6,1,"true"
2,28,1,"true"
3,4,1,"true"
4,28,1,"true"
4,71,1,"true"
7,6,1,"true"
7,26,1,"true"
7,71,1,"true"
8,28,1,"true"
8,30,1,"true"
8,69,1,"true"
8,71,1,"true"
10,42,1,"true"
10,46,1,"true"
11,19,1,"true"
13,30,1,"true"
13,37,1,"true"
14,16,1,"true"
14,65,1,"true"
15,4,1,"true"
15,22,1,"true"
15,31,1,"true"
16,4,1,"true"
17,65,1,"true"
18,28,1,"true"
18,30,1,"true"
18,41,1,"true"
18,71,1,"true"
19,72,1,"true"
20,51,1,"true"
21,38,1,"true"
21,42,1,"true"
22,71,1,"true"
25,27,1,"true"
25,71,1,"true"
25,72,1,"true"
26,6,1,"true"
26,30,1,"true"
26,71,1,"true"
27,72,1,"true"
28,30,1,"true"
29,17,1,"true"
29,20,1,"true"
29,30,1,"true"
29,69,1,"true"
31,20,1,"true"
31,51,1,"true"
31,72,1,"true"
32,51,1,"true"
32,58,1,"true"
33,28,1,"true"
33,30,1,"true"
33,72,1,"true"
35,52,1,"true"
36,30,1,"true"
36,38,1,"true"
36,44,1,"true"
37,6,1,"true"
37,30,1,"true"
37,71,1,"true"
38,28,1,"true"
38,71,1,"true"
39,22,1,"true"
39,71,1,"true"
40,32,1,"true"
40,58,1,"true"
41,6,1,"true"
41,26,1,"true"
41,28,1,"true"
41,30,1,"true"
41,71,1,"true"
42,46,1,"true"
42,58,1,"true"
44,71,1,"true"
46,6,1,"true"
46,40,1,"true"
46,58,1,"true"
47,71,1,"true"
48,12,1,"true"
48,58,1,"true"
49,26,1,"true"
51,68,1,"true"
52,22,1,"true"
52,71,1,"true"
53,9,1,"true"
54,43,1,"true"
55,28,1,"true"
56,28,1,"true"
56,30,1,"true"
57,22,1,"true"
57,71,1,"true"
58,69,1,"true"
59,43,1,"true"
60,50,1,"true"
61,28,1,"true"
62,30,1,"true"
62,65,1,"true"
62,71,1,"true"
63,30,1,"true"
63,62,1,"true"
63,69,1,"true"
64,26,1,"true"
64,72,1,"true"
66,6,1,"true"
66,26,1,"true"
66,38,1,"true"
67,26,1,"true"
68,72,1,"true"
69,19,1,"true"
69,20,1,"true"
69,30,1,"true"
71,30,1,"true"
6,28,1,"true"
17,19,1,"true"
39,52,1,"true"
45,71,1,"true"
28,6,1,"true"
19,17,1,"true"
52,39,1,"true"
71,45,1,"true"
