"id","x","y","color","label","position"
1,8.1915,5.352,"cyan","Acyclic Graph","right"
2,3.927,9.6945,"cyan","Adjacency Matrix","right"
3,10.164,8.592,"cyan","Adjacency Structure","right"
4,9.138,7.9575,"cyan","Adjacent","right"
5,13.0065,14.202,"cyan","Ancestor","right"
6,3.414,6.714,"red","Arc","right"
7,5.6055,12.5355,"cyan","Arc List","right"
8,5.5065,11.4555,"cyan","Bipartite Graph","right"
9,13.1445,8.8965,"cyan","Binary Code","right"
10,1.224,11.4555,"cyan","Binary Search Tree","right"
11,4.5585,3.474,"cyan","Bridge","right"
12,0.3945,7.8645,"cyan","Child","right"
13,6.474,11.784,"cyan","Chromatic Number","right"
14,12.0195,12.7695,"cyan","Clique","right"
15,12.231,11.3835,"cyan","Closure","right"
16,10.9335,10.845,"cyan","Complete","right"
17,9.237,2.5815,"magenta","Connected Component","right"
18,6.198,14.2725,"cyan","Condensed Graph","right"
19,7.125,2.511,"magenta","Connected","right"
20,7.7565,3.5685,"cyan","Cycle","right"
21,0.552,13.803,"cyan","Decision Tree","right"
22,10.026,9.906,"cyan","Degree","right"
23,0.3945,5.352,"cyan","Degree Sequence","right"
24,13.0065,13.6155,"cyan","Descendant","right"
25,8.9205,9.7185,"cyan","Diameter","right"
26,3.948,11.925,"cyan","Digraph","right"
27,12.513,7.5825,"cyan","Distance","right"
28,5.25,6.666,"red","Edge","right"
29,8.7045,5.9385,"cyan","Forest","right"
30,6.3165,4.413,"cyan","Graph","right"
31,13.302,6.315,"cyan","Hamiltonian","right"
32,2.112,7.4655,"cyan","Height","right"
33,8.073,11.0805,"cyan","Homeomorphic","right"
34,0.3945,4.719,"cyan","Incidence Matrix","right"
35,10.1835,13.5915,"cyan","Internal Vertex","right"
36,4.323,14.601,"cyan","Isomorphic","right"
37,5.8815,10.0935,"cyan","k-Colorable","right"
38,1.461,12.4185,"cyan","Label","right"
39,9.177,11.361,"blue","Leaf","right"
40,1.9335,8.31,"cyan","Level","right"
41,5.0325,13.146,"cyan","Loop","right"
42,0.612,10.47,"cyan","m-ary Tree","right"
43,1.974,0.6345,"cyan","Matching","right"
44,6.8085,13.1685,"cyan","Neighborhood","right"
45,8.961,6.807,"green","Node","right"
46,1.776,9.5775,"cyan","Offspring","right"
47,9.1185,7.512,"cyan","Order","right"
48,0.3555,8.991,"cyan","Ordered Tree","right"
49,3.2175,13.098,"cyan","Orientation","right"
50,13.5195,2.511,"cyan","Parent","right"
51,3.0795,2.3235,"cyan","Path","right"
52,10.1835,11.409,"blue","Pendant Vertex","right"
53,13.1445,10.281,"cyan","Prefix Code","right"
54,3.8085,1.3845,"cyan","Perfect Matching","right"
55,4.8555,8.2635,"cyan","Planar","right"
56,6.6705,7.6995,"cyan","Reduced Graph","right"
57,10.7955,11.8785,"cyan","Regular","right"
58,1.1445,6.7845,"cyan","Rooted Tree","right"
59,0.474,1.6905,"cyan","Saturated vertex","right"
60,13.5195,3.8265,"cyan","Sibling","right"
61,3.375,8.991,"cyan","Size","right"
62,7.9935,9.1785,"cyan","Spanning Subgraph","right"
63,7.5,10.704,"cyan","Spanning Tree","right"
64,7.698,14.5305,"cyan","Strongly Connected","right"
65,10.914,1.62,"cyan","Subgraph","right"
66,1.875,14.1555,"cyan","Topological Order","right"
67,3.5925,13.638,"cyan","Tournament","right"
68,6.948,1.479,"cyan","Trail","right"
69,3.3165,5.094,"cyan","Tree","right"
70,0.3945,4.1085,"cyan","Underlying Graph","right"
71,7.539,6.807,"green","Vertex","right"
72,12.3555,0.656999999999999,"cyan","Walk","right"
